Pokemon,Degree centrality,Closeness centrality,Betweenness centrality,Eigen centrality,Page Rank
ウーラオス,1.1521739130434783,0.92,0.06727545669574654,0.37468243933432444,0.04969507194911676
ファイアロー,1.065217391304348,0.8846153846153846,0.0835129108679833,0.34162385877239027,0.1017106472237682
モロバレル,1.0434782608695652,0.8679245283018868,0.06216696883363548,0.3331488084627258,0.09306859722950063
アシレーヌ,1.0217391304347825,0.8363636363636363,0.06361891731456949,0.36282349621083276,0.12068589386386067
ウインディ,0.9130434782608695,0.7796610169491526,0.04194563756157958,0.2916060572787055,0.06311617619356681
ナットレイ,0.8043478260869565,0.7076923076923077,0.04910481493814828,0.2595870379486365,0.04371157954839949
サマヨール,0.7826086956521738,0.7076923076923077,0.044088953183156074,0.2965287609044228,0.07024779223984598
パッチラゴン,0.6739130434782609,0.6571428571428571,0.02267439887005104,0.26299165958803533,0.05437830330731481
ピッピ,0.6521739130434783,0.647887323943662,0.03990588450733378,0.23917262496435612,0.03654643431636363
ラプラス,0.5434782608695652,0.5974025974025974,0.06222462722462722,0.21884752993065448,0.025004699985584935
オーロンゲ,0.5434782608695652,0.5476190476190477,0.01879561662170358,0.05416485816482338,0.014239327413416717
リザードン,0.5,0.5822784810126582,0.05092571545470097,0.09687834063924917,0.013089229028851842
ライチュウ,0.45652173913043476,0.5411764705882353,0.03107383893615778,0.12348840192071608,0.007999358125333337
トリトドン,0.41304347826086957,0.4423076923076923,0.020867948476644124,0.03434411401980664,0.007249320599080316
ウォーグル,0.41304347826086957,0.5227272727272727,0.02306946810569999,0.057961064604646895,0.005541823615008933
ブリムオン,0.41304347826086957,0.5476190476190477,0.036783877689674796,0.09815392486532816,0.030282653173352866
テラキオン,0.3913043478260869,0.5476190476190477,0.05576723598462728,0.10603930250261794,0.010837874852724158
ジュラルドン,0.3913043478260869,0.5411764705882353,0.008877501993444023,0.06771610043641656,0.015038398079511833
ドサイドン,0.34782608695652173,0.4380952380952381,0.0055547887431945395,0.0656874749108769,0.019125861225805712
ニンフィア,0.34782608695652173,0.42201834862385323,0.008669080516906602,0.028090267284262508,0.005970917831614585
ガラガラ,0.34782608695652173,0.35658914728682173,0.007800451025088705,0.010174726541599245,0.0028666133932253503
キュウコン,0.32608695652173914,0.3898305084745763,0.004285056060418379,0.014752988957614658,0.005234910313104997
ダダリン,0.32608695652173914,0.4380952380952381,0.0024364068566967113,0.0643018061485927,0.018095871556761747
ポリゴンＺ,0.32608695652173914,0.5348837209302325,0.056016809277678846,0.10230819779832305,0.013344665916900365
ペルシアン,0.32608695652173914,0.37398373983739835,0.027036535659724064,0.014552274665031185,0.0029135611309932777
マタドガス,0.32608695652173914,0.2839506172839506,0.046014109347442676,0.0016049320976626042,0.00275162783826132
ウオノラゴン,0.32608695652173914,0.3865546218487395,0.06492870387797924,0.015314341881352937,0.003781023168168646
ガルーラ,0.30434782608695654,0.38016528925619836,0.0007969097461851084,0.036450457361942586,0.00766879910068832
アマージョ,0.30434782608695654,0.5,0.02749025129459913,0.043653648682778635,0.006656622036371785
ピクシー,0.2608695652173913,0.3511450381679389,0.001215990129033607,0.006008297510480557,0.0022043953424088895
セキタンザン,0.2608695652173913,0.4842105263157895,0.008450272218388162,0.0443157229391865,0.00852540788592127
キュワワー,0.2608695652173913,0.3865546218487395,0.02249255843458742,0.02399853708460828,0.005682628984407248
ヤミラミ,0.2391304347826087,0.3770491803278688,0.0010804091238873848,0.011097219856455636,0.00299137914409173
ゲンガー,0.2391304347826087,0.4144144144144144,0.002483321831147919,0.03786732073822904,0.00425634765741231
マニューラ,0.2391304347826087,0.36507936507936506,0.0011730486368167529,0.015585940858957403,0.002825343641938181
アーマーガア,0.2391304347826087,0.021739130434782608,0.0031038647342995166,-5.660342973261026e-18,0.0019367293233017464
ヌメルゴン,0.2391304347826087,0.2804878048780488,0.00047158960202438457,0.0024877105278199624,0.0026016065893309905
カビゴン,0.21739130434782608,0.27710843373493976,0.0010685168293863945,0.0015085022374610652,0.002095079920149503
ニョロトノ,0.21739130434782608,0.22439024390243903,0.023302277432712216,0.0001681758928469235,0.0039046792376206856
ミロカロス,0.21739130434782608,0.0,0.0,1.341174662812524e-17,0.0017417169196580786
サザンドラ,0.21739130434782608,0.0,0.0,6.581142700587255e-17,0.0016412191058651718
インテレオン,0.21739130434782608,0.0,0.0,-6.183395148321824e-17,0.0017811026201612623
ロトム（水）,0.19565217391304346,0.0,0.0,-1.373657650009099e-17,0.0016107930144695559
シャンデラ,0.19565217391304346,0.0,0.0,-5.022981058309665e-17,0.0018913661670452435
ウルガモス,0.19565217391304346,0.0,0.0,-1.2036364885288386e-17,0.0016107930144695559
オンバーン,0.17391304347826086,0.0,0.0,-1.9844920229380605e-17,0.0020573725384309275
キングドラ,0.13043478260869565,0.184,0.0,1.7433268439883522e-05,0.0051461909064356255
